type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,latitude,longitude,borough,price_per_sqft,price_range
Co-Op,3195000,3,3,2184.207862,"Manhattan, NY 10065",New York,New York County,New York,40.7701916,-73.9682413,Manhattan,1462.77,$2M–$5M
Co-Op,360000,2,2,2184.207862,"Bayside, NY 11360",New York,Queens County,Queens,40.7806336,-73.7800528,Queens,164.82,< $500K
Co-Op,750000,3,2,1600.0,"Manhattan, NY 10128",United States,New York,New York County,40.7813792,-73.9554399,Manhattan,468.75,$500K–$1M
Co-Op,18000000,6,6,2184.207862,"New York, NY 10065",New York,New York County,New York,40.7676314,-73.9668788,Manhattan,8240.97,$10M–$50M
Co-Op,300000,1,1,800.0,"Brooklyn, NY 11224",New York,Kings County,Brooklyn,40.5774084,-73.9732594,Brooklyn,375.0,< $500K
House,675888,3,1,1662.0,"Staten Island, NY 10308",United States,New York,Richmond County,40.5517925,-74.1441587,Staten Island,406.67,$500K–$1M
Townhouse,4400000,3,2,2400.0,"Brooklyn, NY 11231",United States,New York,Kings County,40.6819385,-73.9985074,Brooklyn,1833.33,$2M–$5M
Co-Op,215000,1,1,2184.207862,"Kew Gardens, NY 11415",New York,Queens County,Queens,40.7062291,-73.8326755,Queens,98.43,< $500K
Condo,7990000,5,4,5202.0,"New York, NY 10013",United States,New York,New York County,40.7221603,-74.0078633,Manhattan,1535.95,$5M–$10M
Condo,250000,3,1,2184.207862,"Brooklyn, NY 11207",New York,Kings County,Brooklyn,40.6576494,-73.8782466,Brooklyn,114.46,< $500K
Multi-Family,2749000,3,6,4480.0,"Brooklyn, NY 11229",United States,New York,Kings County,40.5974982,-73.9539607,Brooklyn,613.62,$2M–$5M
Townhouse,860000,3,2,2000.0,"Brooklyn, NY 11210",United States,New York,Kings County,40.6315943,-73.9376928,Brooklyn,430.0,$500K–$1M
Condo,1195000,1,1,713.0,"New York, NY 10007",New York,New York County,New York,40.7147947,-74.0064392,Manhattan,1676.02,$1M–$2M
House,825000,3,2,1400.0,"Corona, NY 11368",United States,New York,Queens County,40.7537084,-73.8542469,Queens,589.29,$500K–$1M
Co-Op,295000,2,1,2184.207862,"Bronx, NY 10463",Bronx County,The Bronx,Riverdale,40.8858375,-73.9088586,Bronx,135.06,< $500K
Condo,599000,1,1,2184.207862,"New York, NY 10029",New York,New York County,New York,40.7879956,-73.9485879,Manhattan,274.24,$500K–$1M
Townhouse,860000,3,2,2000.0,"Brooklyn, NY 11210",United States,New York,Kings County,40.6315943,-73.9376928,Brooklyn,430.0,$500K–$1M
Condo,1195000,1,1,713.0,"New York, NY 10007",New York,New York County,New York,40.7147947,-74.0064392,Manhattan,1676.02,$1M–$2M
Multi-Family,1169900,6,4,2310.0,"Corona, NY 11368",United States,New York,Queens County,40.7462943,-73.8609962,Queens,506.45,$1M–$2M
House,2795000,6,6,3600.0,"Brooklyn, NY 11217",United States,New York,Kings County,40.6824096,-73.9820791,Brooklyn,776.39,$2M–$5M
House,6250000,4,2,4500.0,"New York, NY 10010",United States,New York,New York County,40.739891,-73.9882646,Manhattan,1388.89,$5M–$10M
Multi-Family,2099000,3,6,3520.0,"Brooklyn, NY 11204",United States,New York,Kings County,40.6190481,-73.9912327,Brooklyn,596.31,$2M–$5M
Co-Op,339000,1,1,2184.207862,"Forest Hills, NY 11375",New York,Queens County,Queens,40.7162869,-73.8314446,Queens,155.21,< $500K
Co-Op,255000,1,1,2184.207862,"Flushing, NY 11367",New York,Queens County,Queens,40.7315119,-73.8286528,Queens,116.75,< $500K
Co-Op,140000,3,1,2184.207862,"Jamaica, NY 11432",New York,Queens County,Queens,40.7101573,-73.7988498,Queens,64.1,< $500K
Co-Op,240000,3,1,500.0,"Forest Hills, NY 11375",New York,Queens County,Queens,40.7223221,-73.8493655,Queens,480.0,< $500K
Co-Op,1775000,2,2,2184.207862,"Manhattan, NY 10023",New York,New York County,New York,40.7787812,-73.9837783,Manhattan,812.65,$1M–$2M
Co-Op,1195000,2,2,650.0,"New York, NY 10016",New York,New York County,New York,40.7435603,-73.9784968,Manhattan,1838.46,$1M–$2M
House,699000,3,2,2040.0,"Bronx, NY 10472",United States,New York,Bronx County,40.8247339,-73.8794549,Bronx,342.65,$500K–$1M
Co-Op,4150000,2,2,2184.207862,"New York, NY 10065",New York,New York County,New York,40.7701916,-73.9682413,Manhattan,1900.0,$2M–$5M
Multi-Family,1398000,9,6,4440.0,"Brooklyn, NY 11220",United States,New York,Kings County,40.6376945,-74.0263049,Brooklyn,314.86,$1M–$2M
Co-Op,299000,3,1,650.0,"Flushing, NY 11355",New York,Queens County,Queens,40.7533589,-73.8250479,Queens,460.0,< $500K
Co-Op,500000,3,1,450.0,"Manhattan, NY 10011",New York,New York County,New York,40.7361563,-73.9977295,Manhattan,1111.11,< $500K
Condo,450888,1,1,2184.207862,"Rego Park, NY 11374",New York,Queens County,Queens,40.7319691,-73.8541569,Queens,206.43,< $500K
Co-Op,298000,1,1,790.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,40.5860215,-73.9668364,Brooklyn,377.22,< $500K
Co-Op,230000,1,1,2184.207862,"Brooklyn, NY 11230",United States,New York,Kings County,40.6291705,-73.9575654,Brooklyn,105.3,< $500K
Condo,748000,2,2,713.0,"Flushing, NY 11355",New York,Queens County,Queens,40.7576255,-73.8231097,Queens,1049.09,$500K–$1M
Co-Op,15500000,4,6,2184.207862,"New York, NY 10128",United States,New York,New York County,40.7985635,-73.943597,Manhattan,7096.39,$10M–$50M
Townhouse,6850000,4,4,2184.207862,"New York, NY 10021",United States,New York,New York County,40.7688879,-73.962056,Manhattan,3136.15,$5M–$10M
House,735000,3,2,2350.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8170494,-73.802331,Bronx,312.77,$500K–$1M
Co-Op,229999,1,1,2184.207862,"Little Neck, NY 11362",New York,Queens County,Queens,40.7670999,-73.7274399,Queens,105.3,< $500K
Co-Op,385000,1,1,2184.207862,"New York, NY 10033",New York,New York County,New York,40.8512338,-73.9412096,Manhattan,176.27,< $500K
Co-Op,458000,2,1,2184.207862,"Jackson Heights, NY 11372",New York,Queens County,Queens,40.750966,-73.885177,Queens,209.69,< $500K
Co-Op,3750000,2,2,2300.0,"New York, NY 10012",New York,New York County,New York,40.7218174,-73.9985808,Manhattan,1630.43,$2M–$5M
Co-Op,3100000,2,2,2184.207862,"New York, NY 10024",New York,New York County,New York,40.7857788,-73.9693433,Manhattan,1419.28,$2M–$5M
Co-Op,595000,3,1,2184.207862,"Manhattan, NY 10021",United States,New York,New York County,40.7728688,-73.9653065,Manhattan,272.41,$500K–$1M
Co-Op,470000,2,1,2184.207862,"Queens, NY 11106",New York,Queens County,Queens,40.7633448,-73.9346195,Queens,215.18,< $500K
House,399999,2,1,1056.0,"Staten Island, NY 10310",United States,New York,Richmond County,40.6309242,-74.1212547,Staten Island,378.79,< $500K
House,599000,4,2,1665.0,"Bronx, NY 10470",United States,New York,Bronx County,40.9052119,-73.8481704,Bronx,359.76,$500K–$1M
Condo,18950000,4,4,5075.0,"Manhattan, NY 10013",New York,New York County,New York,40.7219635,-74.0033414,Manhattan,3733.99,$10M–$50M
Condo,2300000,2,2,1035.0,"New York, NY 10023",New York,New York County,New York,40.779437,-73.97814,Manhattan,2222.22,$2M–$5M
Co-Op,420000,1,1,2184.207862,"Manhattan, NY 10010",New York,New York County,New York,40.7389643,-73.9791144,Manhattan,192.29,< $500K
Multi-Family,1459000,5,4,3500.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.521212,-74.230732,Staten Island,416.86,$1M–$2M
Co-Op,499000,1,1,2184.207862,"New York City, NY 10002",United States,New York,New York County,40.7135079,-73.9794056,Manhattan,228.46,< $500K
Condo,510000,2,2,972.0,"Bronx, NY 10473",United States,New York,Bronx County,40.806756,-73.853097,Bronx,524.69,$500K–$1M
Condo,825000,2,2,1001.0,"New York, NY 10039",New York,New York County,New York,40.8241865,-73.939702,Manhattan,824.18,$500K–$1M
House,1150000,3,2,1352.0,"Bronx, NY 10468",United States,New York,Bronx County,40.871637,-73.8984353,Bronx,850.59,$1M–$2M
Condo,6895000,2,2,2114.0,"New York, NY 10019",New York,New York County,New York,40.7663935,-73.9809909,Manhattan,3261.59,$5M–$10M
Co-Op,165000,1,1,750.0,"Bronx, NY 10471",New York,Bronx County,The Bronx,40.9047804,-73.9057444,Bronx,220.0,< $500K
House,874900,3,4,1500.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.5891334,-74.1468153,Staten Island,583.27,$500K–$1M
Multi-Family,1499999,8,6,2184.207862,"Brooklyn, NY 11237",United States,New York,Kings County,40.7028149,-73.9165356,Brooklyn,686.75,$1M–$2M
Co-Op,245000,1,1,863.0,"Bronx, NY 10467",New York,Bronx County,The Bronx,40.8758111,-73.8765929,Bronx,283.89,< $500K
Condo,565000,1,1,804.0,"Brooklyn, NY 11223",New York,Kings County,Brooklyn,40.6053887,-73.9787595,Brooklyn,702.74,$500K–$1M
Co-Op,1950000,3,2,1265.0,"Manhattan, NY 10029",New York,New York County,New York,40.7957847,-73.9498024,Manhattan,1541.5,$1M–$2M
Multi-Family,699000,2,3,2184.207862,"Crown Heights, NY 11213",United States,New York,Kings County,40.6769065,-73.9327329,Brooklyn,320.02,$500K–$1M
Co-Op,1200000,1,1,1120.0,"New York, NY 10038",New York,New York County,New York,40.7088594,-74.001287,Manhattan,1071.43,$1M–$2M
House,1425000,5,4,2184.207862,"Flushing, NY 11367",United States,New York,Queens County,40.7399679,-73.826261,Queens,652.41,$1M–$2M
Multi-Family,1595000,9,6,4420.0,"Stuyvesant Heights, NY 11233",United States,New York,Kings County,40.6777679,-73.9189779,Brooklyn,360.86,$1M–$2M
Multi-Family,1495000,3,6,5148.0,"Brooklyn, NY 11204",United States,New York,Kings County,40.6137576,-73.9878002,Brooklyn,290.4,$1M–$2M
Multi-Family,2375000,4,4,2184.207862,"Brooklyn, NY 11218",United States,New York,Kings County,40.6537775,-73.9770686,Brooklyn,1087.35,$2M–$5M
House,1425000,5,4,2184.207862,"Flushing, NY 11367",United States,New York,Queens County,40.7399679,-73.826261,Queens,652.41,$1M–$2M
House,1248000,4,2,2450.0,"Brooklyn, NY 11229",11229,United States,New York,40.6056129,-73.9396751,Manhattan,509.39,$1M–$2M
Multi-Family,1499999,8,6,2184.207862,"Brooklyn, NY 11237",United States,New York,Kings County,40.7028149,-73.9165356,Brooklyn,686.75,$1M–$2M
Condo,565000,1,1,804.0,"Brooklyn, NY 11223",New York,Kings County,Brooklyn,40.6053887,-73.9787595,Brooklyn,702.74,$500K–$1M
Co-Op,165000,1,1,750.0,"Bronx, NY 10471",New York,Bronx County,The Bronx,40.9047804,-73.9057444,Bronx,220.0,< $500K
Co-Op,399000,1,1,675.0,"New York, NY 10040",New York,New York County,New York,40.8581217,-73.9322431,Manhattan,591.11,< $500K
Co-Op,4895000,4,2,3594.0,"New York, NY 10003",New York,New York County,New York,40.7338734,-73.9921219,Manhattan,1361.99,$2M–$5M
Co-Op,12500000,5,2,2184.207862,"New York, NY 10028",New York,New York County,New York,40.7762654,-73.9595399,Manhattan,5722.9,$10M–$50M
Co-Op,475000,3,1,2184.207862,"Manhattan, NY 10021",New York,New York County,New York,40.7662222,-73.9516342,Manhattan,217.47,< $500K
Co-Op,11175000,4,6,3841.0,"New York, NY 10128",New York,New York County,New York,40.7825765,-73.9578338,Manhattan,2909.4,$10M–$50M
Co-Op,825000,2,2,2184.207862,"New York, NY 10019",New York,New York County,New York,40.7636334,-73.9803004,Manhattan,377.71,$500K–$1M
Multi-Family,1849000,6,3,3001.0,"Brooklyn, NY 11215",United States,New York,Kings County,40.6648195,-73.9891783,Brooklyn,616.13,$1M–$2M
Co-Op,699000,1,1,700.0,"New York, NY 10023",New York,New York County,New York,40.776434,-73.9771489,Manhattan,998.57,$500K–$1M
Condo,320000,2,1,802.0,"Bronx, NY 10462",New York,Bronx County,The Bronx,40.840912,-73.8545918,Bronx,399.0,< $500K
Co-Op,525000,1,1,2184.207862,"Manhattan, NY 10065",New York,New York County,New York,40.7670221,-73.9628426,Manhattan,240.36,$500K–$1M
Land,1100000,3,2,2184.207862,"Corona, NY 11368",United States,New York,Queens County,40.7526719,-73.854675,Queens,503.62,$1M–$2M
Co-Op,650000,2,2,2184.207862,"Manhattan, NY 10022",New York,New York County,New York,40.7581185,-73.9620574,Manhattan,297.59,$500K–$1M
Co-Op,1650000,1,1,2184.207862,"New York, NY 10075",New York,New York County,New York,40.7737439,-73.9586221,Manhattan,755.42,$1M–$2M
Co-Op,1425000,2,2,2184.207862,"New York, NY 10075",New York,New York County,New York,40.7730858,-73.9528703,Manhattan,652.41,$1M–$2M
Condo,418000,1,1,684.0,"College Point, NY 11356",New York,Queens County,Queens,40.7946644,-73.8473931,Queens,611.11,< $500K
Multi-Family,1399000,8,6,3448.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6255774,-73.913355,Brooklyn,405.74,$1M–$2M
House,339000,2,1,700.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.5633004,-74.1004012,Staten Island,484.29,< $500K
Co-Op,400000,1,1,2184.207862,"Queens, NY 11106",New York,Queens County,Queens,40.762146,-73.9318948,Queens,183.13,< $500K
House,699000,3,1,4000.0,"Saint Albans, NY 11412",United States,New York,Queens County,40.6969277,-73.7655056,Queens,174.75,$500K–$1M
Condo,1325000,2,2,2184.207862,"New York, NY 10019",New York,New York County,New York,40.7622732,-73.9767193,Manhattan,606.63,$1M–$2M
Condo,1750000,6,3,3364.0,"Brooklyn, NY 11225",United States,New York,Kings County,40.6585715,-73.9507462,Brooklyn,520.21,$1M–$2M
Multi-Family,2100000,3,3,2000.0,"Brooklyn, NY 11231",United States,New York,Kings County,40.6756187,-74.0002793,Brooklyn,1050.0,$2M–$5M
Co-Op,205900,1,1,750.0,"Kew Gardens, NY 11415",New York,Queens County,The Bronx,40.7119297,-73.826361,Bronx,274.53,< $500K
Co-Op,265000,1,1,765.0,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,40.6180698,-73.9699744,Brooklyn,346.41,< $500K
Co-Op,169999,1,1,2184.207862,"Howard Beach, NY 11414",New York,Queens County,Queens,40.6661012,-73.8471882,Queens,77.83,< $500K
House,775000,3,1,1696.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8377397,-73.8241472,Bronx,456.96,$500K–$1M
House,685000,4,2,2269.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.5849183,-74.1599388,Staten Island,301.9,$500K–$1M
Co-Op,699000,1,1,700.0,"New York, NY 10023",New York,New York County,New York,40.776434,-73.9771489,Manhattan,998.57,$500K–$1M
Multi-Family,1245000,7,6,2184.207862,"East Elmhurst, NY 11369",United States,New York,Queens County,40.7591289,-73.8579008,Queens,570.0,$1M–$2M
Co-Op,795000,1,1,2184.207862,"New York, NY 10021",New York,New York County,New York,40.7707242,-73.9542132,Manhattan,363.98,$500K–$1M
Condo,445000,3,1,402.0,"Astoria, NY 11103",New York,Queens County,Queens,40.7680157,-73.9174508,Queens,1106.97,< $500K
Co-Op,399000,2,1,960.0,"Brooklyn, NY 11224",New York,Kings County,Brooklyn,40.5792324,-73.9713245,Brooklyn,415.62,< $500K
Multi-Family,1990000,6,5,2150.0,"Bayside, NY 11361",United States,New York,Queens County,40.7557556,-73.7774071,Queens,925.58,$1M–$2M
Co-Op,529000,2,1,2184.207862,"Manhattan, NY 10040",New York,New York County,New York,40.8558902,-73.9351781,Manhattan,242.19,$500K–$1M
Co-Op,7500000,6,6,4200.0,"New York, NY 10028",New York,New York County,New York,40.7802712,-73.9567847,Manhattan,1785.71,$5M–$10M
Co-Op,595000,1,1,2184.207862,"New York, NY 10033",New York,New York County,New York,40.8540347,-73.9393276,Manhattan,272.41,$500K–$1M
Co-Op,525000,3,2,2184.207862,"Brooklyn, NY 11224",New York,Kings County,Brooklyn,40.5794182,-73.9709078,Brooklyn,240.36,$500K–$1M
Co-Op,479000,2,1,1100.0,"Brooklyn, NY 11224",New York,Kings County,Brooklyn,40.5778092,-73.9728288,Brooklyn,435.45,< $500K
Co-Op,4995000,4,4,5500.0,"Manhattan, NY 10022",United States,New York,New York County,40.7622996,-73.9698344,Manhattan,908.18,$2M–$5M
Co-Op,460000,2,1,2184.207862,"Manhattan, NY 10025",New York,New York County,New York,40.8002612,-73.9648347,Manhattan,210.6,< $500K
House,1200000,4,2,2184.207862,"Bayside, NY 11361",United States,New York,Queens County,40.75515,-73.7757869,Queens,549.4,$1M–$2M
Condo,5950000,2,2,1853.0,"New York, NY 10014",New York,New York County,New York,40.7347565,-74.0097145,Manhattan,3211.01,$5M–$10M
Condo,599000,1,1,626.0,"Manhattan, NY 10029",New York,New York County,New York,40.7920582,-73.9393346,Manhattan,956.87,$500K–$1M
Co-Op,350000,3,1,2184.207862,"Manhattan, NY 10017",New York,New York County,New York,40.7556998,-73.9717539,Manhattan,160.24,< $500K
Condo,420000,1,1,668.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,40.5783101,-73.9670934,Brooklyn,628.74,< $500K
Contingent,2400000,3,2,3248.0,"Brooklyn, NY 11213",United States,New York,Kings County,40.6647715,-73.9353047,Brooklyn,738.92,$2M–$5M
Co-Op,2199000,2,2,1770.0,"New York, NY 10024",New York,New York County,New York,40.7899034,-73.9774703,Manhattan,1242.37,$2M–$5M
Co-Op,595000,1,1,700.0,"Manhattan, NY 10022",New York,New York County,New York,40.754338,-73.964711,Manhattan,850.0,$500K–$1M
Co-Op,249000,2,1,1000.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,40.5926635,-73.9388739,Brooklyn,249.0,< $500K
Condo,11000000,4,4,3452.0,"Manhattan, NY 10011",United States,New York,New York County,40.7450569,-74.0027927,Manhattan,3186.56,$10M–$50M
Co-Op,585000,1,1,2184.207862,"New York, NY 10040",New York,New York County,New York,40.8570262,-73.9361002,Manhattan,267.83,$500K–$1M
Multi-Family,1180000,8,4,3321.0,"Bronx, NY 10472",United States,New York,Bronx County,40.8307543,-73.8757325,Bronx,355.31,$1M–$2M
Co-Op,115000,3,1,550.0,"Bronx, NY 10458",New York,Bronx County,The Bronx,40.8716219,-73.8826018,Bronx,209.09,< $500K
Condo,779000,1,1,638.0,"Manhattan, NY 10016",New York,New York County,New York,40.7422824,-73.9781111,Manhattan,1221.0,$500K–$1M
Multi-Family,1850000,12,7,4719.0,"Brooklyn, NY 11220",United States,New York,Kings County,40.6395826,-74.0081915,Brooklyn,392.03,$1M–$2M
Condo,9975000,3,3,2241.0,"New York, NY 10023",New York County,New York,Manhattan,40.7697189,-73.9810746,Manhattan,4451.14,$5M–$10M
Townhouse,925000,3,2,1875.0,"Fresh Meadows, NY 11365",United States,New York,Queens County,40.7318932,-73.8001903,Queens,493.33,$500K–$1M
House,685000,4,2,2269.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.5849183,-74.1599388,Staten Island,301.9,$500K–$1M
Co-Op,2750000,2,2,2184.207862,"Manhattan, NY 10019",New York,New York County,New York,40.7666667,-73.9797008,Manhattan,1259.04,$2M–$5M
Co-Op,1450000,4,2,2184.207862,"Manhattan, NY 10016",New York,New York County,New York,40.7494389,-73.9768133,Manhattan,663.86,$1M–$2M
Townhouse,3400000,5,4,4852.0,"New York, NY 10030",United States,New York,New York County,40.8180997,-73.9429051,Manhattan,700.74,$2M–$5M
Co-Op,329000,2,1,2184.207862,"Bayside, NY 11360",New York,Queens County,Queens,40.7807824,-73.7743544,Queens,150.63,< $500K
House,699000,3,2,1008.0,"Staten Island, NY 10303",United States,New York,Richmond County,40.6306551,-74.1655807,Staten Island,693.45,$500K–$1M
Multi-Family,1075000,7,3,2184.207862,"Brooklyn, NY 11207",United States,New York,Kings County,40.6888948,-73.9059091,Brooklyn,492.17,$1M–$2M
Multi-Family,790000,4,3,1784.0,"Bronx, NY 10461",United States,New York,Bronx County,40.8510197,-73.8533944,Bronx,442.83,$500K–$1M
Co-Op,2199000,2,2,1770.0,"New York, NY 10024",New York,New York County,New York,40.7899034,-73.9774703,Manhattan,1242.37,$2M–$5M
Condo,11000000,4,4,3452.0,"Manhattan, NY 10011",United States,New York,New York County,40.7450569,-74.0027927,Manhattan,3186.56,$10M–$50M
Co-Op,585000,1,1,2184.207862,"New York, NY 10040",New York,New York County,New York,40.8570262,-73.9361002,Manhattan,267.83,$500K–$1M
Condo,7750000,5,6,3701.0,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.692916,-74.0008815,Brooklyn,2094.03,$5M–$10M
Townhouse,19995000,6,8,8757.0,"New York, NY 10011",United States,New York,New York County,40.7318882,-73.9999891,Manhattan,2283.32,$10M–$50M
Co-Op,3375000,3,3,2184.207862,"New York, NY 10029",New York,New York County,New York,40.7888952,-73.9545865,Manhattan,1545.18,$2M–$5M
House,1175000,3,2,2184.207862,"Brooklyn, NY 11235",United States,New York,Kings County,40.5790606,-73.9612505,Brooklyn,537.95,$1M–$2M
Co-Op,3150000,4,3,2184.207862,"New York, NY 10024",United States,New York,New York County,40.7835147,-73.9748183,Manhattan,1442.17,$2M–$5M
Co-Op,15000000,4,6,2184.207862,"Manhattan, NY 10065",United States,New York,New York County,40.7668419,-73.9707457,Manhattan,6867.48,$10M–$50M
Co-Op,3150000,4,4,2184.207862,"New York, NY 10065",New York,New York County,New York,40.7699404,-73.9686033,Manhattan,1442.17,$2M–$5M
House,899000,2,2,1056.0,"Brooklyn, NY 11228",United States,New York,Kings County,40.603279,-74.014377,Brooklyn,851.33,$500K–$1M
Condo,795000,1,1,860.0,"Manhattan, NY 10065",New York,New York County,New York,40.7614804,-73.9610613,Manhattan,924.42,$500K–$1M
Co-Op,275000,1,1,880.0,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,40.6329634,-73.9709274,Brooklyn,312.5,< $500K
Multi-Family,775000,6,2,2910.0,"Bronx, NY 10462",United States,New York,Bronx County,40.8501271,-73.8669885,Bronx,266.32,$500K–$1M
House,2150000,2,2,2184.207862,"New York, NY 10016",New York,New York County,New York,40.7479844,-73.9728389,Manhattan,984.34,$2M–$5M
House,899000,3,1,2184.207862,"Woodside, NY 11377",United States,New York,Queens County,40.7543613,-73.9077947,Queens,411.59,$500K–$1M
House,699000,5,4,1838.0,"Bronx, NY 10458",United States,New York,Bronx County,40.8677282,-73.8849595,Bronx,380.3,$500K–$1M
Multi-Family,904000,4,3,2184.207862,"Fresh Meadows, NY 11366",United States,New York,Queens County,40.7236308,-73.8094885,Queens,413.88,$500K–$1M
House,669000,3,1,2184.207862,"Woodhaven, NY 11421",United States,New York,Queens County,40.6899622,-73.8484421,Queens,306.29,$500K–$1M
Co-Op,279000,1,1,2184.207862,"Rego Park, NY 11374",New York,Queens County,Queens,40.7312899,-73.85773,Queens,127.74,< $500K
Co-Op,330000,1,1,656.0,"Bayside, NY 11360",New York,Queens County,Queens,40.7843012,-73.7761962,Queens,503.05,< $500K
House,1175000,3,2,2184.207862,"Brooklyn, NY 11235",United States,New York,Kings County,40.5790606,-73.9612505,Brooklyn,537.95,$1M–$2M
Co-Op,399000,3,1,2184.207862,"New York, NY 10021",New York,New York County,New York,40.7697297,-73.9590126,Manhattan,182.67,< $500K
Co-Op,740000,2,1,2184.207862,"New York, NY 10024",New York,New York County,New York,40.7887084,-73.9700091,Manhattan,338.8,$500K–$1M
House,590000,5,3,1152.0,"Far Rockaway, NY 11691",United States,New York,Queens County,40.6019328,-73.7587155,Queens,512.15,$500K–$1M
Multi-Family,775000,6,2,2910.0,"Bronx, NY 10462",United States,New York,Bronx County,40.8501271,-73.8669885,Bronx,266.32,$500K–$1M
House,1250000,3,2,2049.0,"Brooklyn, NY 11203",United States,New York,Kings County,40.6520971,-73.9451094,Brooklyn,610.05,$1M–$2M
Co-Op,975000,2,2,1270.0,"Manhattan, NY 10032",New York,New York County,New York,40.8370331,-73.9477948,Manhattan,767.72,$500K–$1M
Condo,849000,3,2,2184.207862,"New York, NY 10023",New York,New York County,New York,40.7719831,-73.9802428,Manhattan,388.7,$500K–$1M
House,1699000,3,2,2200.0,"Brooklyn, NY 11238",United States,New York,Kings County,40.6870728,-73.9584649,Brooklyn,772.27,$1M–$2M
Co-Op,1195000,2,2,2184.207862,"New York, NY 10028",New York,New York County,New York,40.77475,-73.9488864,Manhattan,547.11,$1M–$2M
Co-Op,190000,3,1,500.0,"Jamaica, NY 11432",New York,Queens County,Queens,40.7122499,-73.78851,Queens,380.0,< $500K
Co-Op,405000,3,1,550.0,"New York, NY 10028",New York,New York County,New York,40.7740666,-73.9522989,Manhattan,736.36,< $500K
Co-Op,169500,1,1,2184.207862,"Bronx, NY 10462",New York,Bronx County,The Bronx,40.8531021,-73.8636237,Bronx,77.6,< $500K
House,738280,3,2,1302.0,"Springfield Gardens, NY 11413",United States,New York,Queens County,40.6619508,-73.7548417,Queens,567.04,$500K–$1M
Multi-Family,950000,5,2,1660.0,"Brooklyn, NY 11235",United States,New York,Kings County,40.5792869,-73.9603435,Brooklyn,572.29,$500K–$1M
Condo,800000,3,1,916.0,"New York, NY 10005",United States,New York,New York County,40.7067114,-74.010457,Manhattan,873.36,$500K–$1M
Condo,359000,2,1,920.0,"Brooklyn, NY 11207",New York,Kings County,Brooklyn,40.654871,-73.8847697,Brooklyn,390.22,< $500K
Co-Op,1950000,2,3,2184.207862,"New York, NY 10065",New York,New York County,New York,40.7695956,-73.9688773,Manhattan,892.77,$1M–$2M
Townhouse,999000,7,4,2184.207862,"Brooklyn, NY 11207",United States,New York,Kings County,40.6656785,-73.8916486,Brooklyn,457.37,$500K–$1M
Co-Op,1950000,2,2,960.0,"New York, NY 10014",New York,New York County,New York,40.7373507,-74.0063169,Manhattan,2031.25,$1M–$2M
Condo,649000,1,1,2184.207862,"New York, NY 10027",New York,New York County,New York,40.8121684,-73.9523535,Manhattan,297.13,$500K–$1M
Condo,1175000,4,2,2184.207862,"Whitestone, NY 11357",New York,Queens County,Queens,40.7932921,-73.7951779,Queens,537.95,$1M–$2M
House,799000,4,2,2184.207862,"Ozone Park, NY 11417",United States,New York,Queens County,40.6757849,-73.8361627,Queens,365.81,$500K–$1M
Condo,2950000,3,2,1709.0,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.6935342,-74.0002618,Brooklyn,1726.16,$2M–$5M
Condo,358000,3,1,2184.207862,"Flushing, NY 11367",New York,Queens County,Queens,40.7187728,-73.811168,Queens,163.9,< $500K
Co-Op,189999,1,1,2184.207862,"Kew Gardens, NY 11415",New York,Queens County,Queens,40.704719,-73.832559,Queens,86.99,< $500K
Condo,760000,1,1,700.0,"New York, NY 10019",New York,New York County,New York,40.766298,-73.9881994,Manhattan,1085.71,$500K–$1M
Multi-Family,675999,3,2,2070.0,"Bronx, NY 10466",United States,New York,Bronx County,40.8974036,-73.8427908,Bronx,326.57,$500K–$1M
Condo,380000,3,1,393.0,"Brooklyn, NY 11228",New York,Kings County,Brooklyn,40.6184843,-74.0001507,Brooklyn,966.92,< $500K
Condo,380000,3,1,393.0,"Brooklyn, NY 11228",New York,Kings County,Brooklyn,40.6184843,-74.0001507,Brooklyn,966.92,< $500K
Condo,800000,3,1,916.0,"New York, NY 10005",United States,New York,New York County,40.7067114,-74.010457,Manhattan,873.36,$500K–$1M
Co-Op,379000,2,1,2184.207862,"Rego Park, NY 11374",New York,Queens County,Queens,40.7334099,-73.85851,Queens,173.52,< $500K
Co-Op,995000,2,2,2184.207862,"New York, NY 10021",New York,New York County,New York,40.7699248,-73.9617134,Manhattan,455.54,$500K–$1M
Condo,649000,3,2,1150.0,"Brooklyn, NY 11234",New York,Kings County,Brooklyn,40.6280068,-73.9155812,Brooklyn,564.35,$500K–$1M
