type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,latitude,longitude,borough,price_per_sqft,price_range
Land,1685000,3,2,2184.207862,"Ridgewood, NY 11385",United States,New York,Queens County,40.7083434,-73.9081614,Queens,771.45,$1M–$2M
Condo,31000000,3,4,4492.0,"New York, NY 10019",New York,New York County,New York,40.764953,-73.977568,Manhattan,6901.16,$10M–$50M
Land,2550000,3,2,2184.207862,"Brooklyn, NY 11235",United States,New York,Kings County,40.5785288,-73.9655666,Brooklyn,1167.47,$2M–$5M
Land,119000,3,2,2184.207862,"Bronx, NY 10466",United States,New York,Bronx County,40.8841699,-73.8388387,Bronx,54.48,< $500K
Condo,1650000,2,2,1065.0,"New York, NY 10128",New York,New York County,New York,40.7833546,-73.9499982,Manhattan,1549.3,$1M–$2M
Condo,1650000,2,2,1065.0,"New York, NY 10128",New York,New York County,New York,40.7833546,-73.9499982,Manhattan,1549.3,$1M–$2M
Townhouse,12950000,5,4,3344.0,"Manhattan, NY 10014",United States,New York,New York County,40.7363219,-74.0018035,Manhattan,3872.61,$10M–$50M
Condo,5750000,3,2,2223.0,"Manhattan, NY 10010",New York,New York County,New York,40.736608,-73.9822819,Manhattan,2586.59,$5M–$10M
Multi-Family,250000,5,2,2184.207862,"Jamaica, NY 11436",United States,New York,Queens County,40.66911,-73.789339,Queens,114.46,< $500K
House,585000,3,2,1100.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.5784263,-74.105437,Staten Island,531.82,$500K–$1M
House,8750000,6,6,2184.207862,"Brooklyn, NY 11209",United States,New York,Kings County,40.6282935,-74.0379695,Brooklyn,4006.03,$5M–$10M
House,595000,3,1,1316.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6239146,-73.9291226,Brooklyn,452.13,$500K–$1M
Condo,215000,1,1,625.0,"New York, NY 10012",New York,New York County,New York,40.7267732,-74.002538,Manhattan,344.0,< $500K
For Sale,950000,1,1,621.0,"New York, NY 10025",United States,New York,New York County,40.7986579,-73.9679035,Manhattan,1529.79,$500K–$1M
House,314000,3,1,1572.0,"Brooklyn, NY 11210",United States,New York,Kings County,40.6362368,-73.939679,Brooklyn,199.75,< $500K
Condo,395000,5,1,1000.0,"Manhattan, NY 10021",United States,New York,New York County,40.7700395,-73.9638872,Manhattan,395.0,< $500K
Multi-Family,600000,2,2,2184.207862,"Bronx, NY 10465",United States,New York,Bronx County,40.8429545,-73.8249591,Bronx,274.7,$500K–$1M
Multi-Family,790000,6,3,2520.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.6105856,-74.1268175,Staten Island,313.49,$500K–$1M
Co-Op,539000,2,2,1100.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6170731,-74.0383836,Brooklyn,490.0,$500K–$1M
Co-Op,1295000,4,2,1995.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,40.8809873,-73.9224337,Bronx,649.12,$1M–$2M
House,245000,3,1,2184.207862,"Bronx, NY 10469",United States,New York,Bronx County,40.8690109,-73.8564445,Bronx,112.17,< $500K
House,400000,7,3,2385.0,"Bronx, NY 10470",United States,New York,Bronx County,40.8969146,-73.8654984,Bronx,167.71,< $500K
House,55000000,8,8,12000.0,"New York, NY 10023",United States,New York,New York County,40.782238,-73.9846322,Manhattan,4583.33,$10M–$50M
Co-Op,280000,1,1,1000.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6241766,-74.0216837,Brooklyn,280.0,< $500K
House,899000,3,2,1440.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.5159004,-74.2314825,Staten Island,624.31,$500K–$1M
For Sale,2280000,2,2,1400.0,"New York, NY 10025",United States,New York,New York County,40.7986579,-73.9679035,Manhattan,1628.57,$2M–$5M
House,1495000,4,2,3000.0,"Staten Island, NY 10312",United States,New York,Richmond County,40.5247627,-74.1681035,Staten Island,498.33,$1M–$2M
House,3950000,5,2,3528.0,"Brooklyn, NY 11215",United States,New York,Kings County,40.6680619,-73.9748375,Brooklyn,1119.61,$2M–$5M
Condo,325000,2,1,979.0,"New York, NY 10029",New York,New York County,New York,40.7897507,-73.9487257,Manhattan,331.97,< $500K
Townhouse,2695000,6,5,4720.0,"New York, NY 10031",United States,New York,New York County,40.8235127,-73.9467514,Manhattan,570.97,$2M–$5M
House,694000,3,3,1360.0,"Staten Island, NY 10308",United States,New York,Richmond County,40.5423126,-74.1555672,Staten Island,510.29,$500K–$1M
House,688888,4,2,2846.0,"Bronx, NY 10467",United States,New York,Bronx County,40.8726182,-73.8651768,Bronx,242.05,$500K–$1M
House,400000,4,2,1980.0,"Brooklyn, NY 11208",United States,New York,Kings County,40.665357,-73.8770867,Brooklyn,202.02,< $500K
Multi-Family,346000,5,2,2184.207862,"Ozone Park, NY 11417",United States,New York,Queens County,40.6837891,-73.8381042,Queens,158.41,< $500K
House,400000,4,2,1980.0,"Brooklyn, NY 11208",United States,New York,Kings County,40.665357,-73.8770867,Brooklyn,202.02,< $500K
Multi-Family,346000,5,2,2184.207862,"Ozone Park, NY 11417",United States,New York,Queens County,40.6837891,-73.8381042,Queens,158.41,< $500K
House,265000,3,1,2184.207862,"Springfield Gardens, NY 11413",United States,New York,Queens County,40.67538,-73.7472571,Queens,121.33,< $500K
House,319000,3,2,1224.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.5604695,-74.1018925,Staten Island,260.62,< $500K
Townhouse,24800000,6,8,2184.207862,"New York, NY 10021",United States,New York,New York County,40.772929,-73.9635462,Manhattan,11354.23,$10M–$50M
House,1100000,9,4,3276.0,"New York, NY 10032",United States,New York,New York County,40.8307115,-73.9424229,Manhattan,335.78,$1M–$2M
